Row,Error,Row Data
2,Invalid date format for CREATE DATE at row 2: 22-07-2025 23:50:37,"{'Unnamed: 0': nan, 'No': 1, 'CREATE DATE': '22-07-2025 23:50:37', 'USERNAME': 'baesinja', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 23:51:11', 'PROCESS BY': 'xpukul69', 'AMOUNT': '50.00'}"
3,Invalid date format for CREATE DATE at row 3: 22-07-2025 23:48:57,"{'Unnamed: 0': nan, 'No': 2, 'CREATE DATE': '22-07-2025 23:48:57', 'USERNAME': 'ilewjaya', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 23:49:33', 'PROCESS BY': 'xpukul69', 'AMOUNT': '14.00'}"
4,Invalid date format for CREATE DATE at row 4: 22-07-2025 23:46:58,"{'Unnamed: 0': nan, 'No': 3, 'CREATE DATE': '22-07-2025 23:46:58', 'USERNAME': 'iin92', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 23:47:42', 'PROCESS BY': 'xpukul69', 'AMOUNT': '10.00'}"
5,Invalid date format for CREATE DATE at row 5: 22-07-2025 23:37:52,"{'Unnamed: 0': nan, 'No': 4, 'CREATE DATE': '22-07-2025 23:37:52', 'USERNAME': 'selpiaja', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 23:38:21', 'PROCESS BY': 'xpukul69', 'AMOUNT': '49.00'}"
6,Invalid date format for CREATE DATE at row 6: 22-07-2025 23:37:26,"{'Unnamed: 0': nan, 'No': 5, 'CREATE DATE': '22-07-2025 23:37:26', 'USERNAME': 'oqpusbehs', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 23:37:57', 'PROCESS BY': 'xpukul69', 'AMOUNT': '18.00'}"
7,Invalid date format for CREATE DATE at row 7: 22-07-2025 23:36:23,"{'Unnamed: 0': nan, 'No': 6, 'CREATE DATE': '22-07-2025 23:36:23', 'USERNAME': 'baesinja', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 23:37:46', 'PROCESS BY': 'xpukul69', 'AMOUNT': '50.00'}"
8,Invalid date format for CREATE DATE at row 8: 22-07-2025 23:21:13,"{'Unnamed: 0': nan, 'No': 7, 'CREATE DATE': '22-07-2025 23:21:13', 'USERNAME': 'mamat1990', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 23:22:43', 'PROCESS BY': 'xpukul69', 'AMOUNT': '50.00'}"
9,Invalid date format for CREATE DATE at row 9: 22-07-2025 23:21:05,"{'Unnamed: 0': nan, 'No': 8, 'CREATE DATE': '22-07-2025 23:21:05', 'USERNAME': 'saldi22', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 23:21:30', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '29.00'}"
10,Invalid date format for CREATE DATE at row 10: 22-07-2025 23:19:40,"{'Unnamed: 0': nan, 'No': 9, 'CREATE DATE': '22-07-2025 23:19:40', 'USERNAME': 'maujp', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 23:21:06', 'PROCESS BY': 'xpukul69', 'AMOUNT': '40.00'}"
11,Invalid date format for CREATE DATE at row 11: 22-07-2025 23:10:31,"{'Unnamed: 0': nan, 'No': 10, 'CREATE DATE': '22-07-2025 23:10:31', 'USERNAME': 'satimin58', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 23:10:51', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '49.00'}"
12,Invalid date format for CREATE DATE at row 12: 22-07-2025 23:08:15,"{'Unnamed: 0': nan, 'No': 11, 'CREATE DATE': '22-07-2025 23:08:15', 'USERNAME': 'tinjuh123', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 23:09:27', 'PROCESS BY': 'xpukul69', 'AMOUNT': '200.00'}"
13,Invalid date format for CREATE DATE at row 13: 22-07-2025 23:05:47,"{'Unnamed: 0': nan, 'No': 12, 'CREATE DATE': '22-07-2025 23:05:47', 'USERNAME': 'abdullah12', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 23:06:15', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '20.00'}"
14,Invalid date format for CREATE DATE at row 14: 22-07-2025 22:59:18,"{'Unnamed: 0': nan, 'No': 13, 'CREATE DATE': '22-07-2025 22:59:18', 'USERNAME': 'arsya30', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:59:49', 'PROCESS BY': 'xpukul69', 'AMOUNT': '74.00'}"
15,Invalid date format for CREATE DATE at row 15: 22-07-2025 22:55:12,"{'Unnamed: 0': nan, 'No': 14, 'CREATE DATE': '22-07-2025 22:55:12', 'USERNAME': 'nadira13', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:56:09', 'PROCESS BY': 'xpukul69', 'AMOUNT': '59.00'}"
16,Invalid date format for CREATE DATE at row 16: 22-07-2025 22:54:11,"{'Unnamed: 0': nan, 'No': 15, 'CREATE DATE': '22-07-2025 22:54:11', 'USERNAME': 'mamat1990', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:55:13', 'PROCESS BY': 'xpukul69', 'AMOUNT': '50.00'}"
17,Invalid date format for CREATE DATE at row 17: 22-07-2025 22:45:02,"{'Unnamed: 0': nan, 'No': 16, 'CREATE DATE': '22-07-2025 22:45:02', 'USERNAME': 'tukul', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:45:56', 'PROCESS BY': 'xpukul69', 'AMOUNT': '22.00'}"
18,Invalid date format for CREATE DATE at row 18: 22-07-2025 22:42:54,"{'Unnamed: 0': nan, 'No': 17, 'CREATE DATE': '22-07-2025 22:42:54', 'USERNAME': 'kutuair', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:43:29', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '100.00'}"
19,Invalid date format for CREATE DATE at row 19: 22-07-2025 22:40:42,"{'Unnamed: 0': nan, 'No': 18, 'CREATE DATE': '22-07-2025 22:40:42', 'USERNAME': 'kingmoni89', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:41:07', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '50.00'}"
20,Invalid date format for CREATE DATE at row 20: 22-07-2025 22:37:57,"{'Unnamed: 0': nan, 'No': 19, 'CREATE DATE': '22-07-2025 22:37:57', 'USERNAME': 'herwandi', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:38:26', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '100.00'}"
